"Level","Institution","Program_Title","Field","Cost","Language","Link"
"Master's degree","Leibniz University Hannover","Geodesy and Geoinformatics – Specialisation in Geomatics","Surveying",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4562/"
"Master's degree","Leibniz University Hannover","Geodesy and Geoinformatics – Specialisation in Remote Sensing and GIS","Surveying",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9917/"
"Master's degree","University of Bonn","Geodetic Engineering","Surveying",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7030/"
"PhD / Doctorate","University of Göttingen","Geography (PhD)","Geography",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4400/"
"Master's degree","University of Bonn","Geography of Environmental Risks and Human Security","Geography",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4342/"
"Master's degree","University of Münster","Geoinformatics and Spatial Data Science (MSc)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3877/"
"Master's degree","Neubrandenburg University of Applied Sciences","Geomatics","Surveying",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4750/"
"Master's degree","University of Stuttgart","Geomatics Engineering - GEOENGINE","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3776/"
"Master's degree","TU Bergakademie Freiberg","Geomatics for Mineral Resource Management (MGMRM)","Surveying",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6283/"
"Graduate school","University of Göttingen","Georg-August University School of Science Göttingen (GAUSS)",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4794/"
"PhD / Doctorate","University of Göttingen","Geoscience PhD","Earth Sciences (excluding Geography)",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7668/"
"Master's degree","University of Potsdam","Geosciences","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8308/"
"Master's degree","Leibniz University Hannover","Geosciences (Master of Science)","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9600/"
"Master's degree","University of Münster","Geospatial Technologies (MSc)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3862/"
"Master's degree","University of Bonn","German and Comparative Literature","German Language and Literature (German, Germanic Languages except English)",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7611/"
"Bachelor's degree","Bielefeld University","German as a Foreign and Second Language","German Language and Literature (German, Germanic Languages except English)",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3602/"
"Master's degree","Philipps-Universität Marburg","German as a Foreign Language (MA)","German Language and Literature (German, Germanic Languages except English)",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4002/"
"Master's degree","Bielefeld University","German as a Foreign Language and German Linguistics and Literature","German Language and Literature (German, Germanic Languages except English)",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4270/"
"Language course","International Psychoanalytic University Berlin","German as a Foreign Language B2 with Additional Material on Psychology","German Language Course (including Literature and Culture Studies)","EUR 110","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9817/"
"Language course","International Psychoanalytic University Berlin","German as a Foreign Language C1 with Additional Material on Psychology","German Language Course (including Literature and Culture Studies)","EUR 110","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9889/"
"Master's degree","Philipps-Universität Marburg","German as a Foreign Language – online (MA)","German Language and Literature (German, Germanic Languages except English)",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4370/"
"Master's degree","Leipzig University","German as a Foreign Language: German-Mexican Double Degree (MA)","German Language and Literature (German, Germanic Languages except English)",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9799/"
"Master's degree","University of Hildesheim","German as a Second Language / German as a Foreign Language","German Language and Literature (German, Germanic Languages except English)",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7125/"
"Master's degree","University of Education Freiburg","German as a Second Language / German as a Foreign Language – Deutsch als Zweitsprache / Deutsch als Fremdsprache","German Language and Literature (German, Germanic Languages except English)",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8995/"
"Master's degree","Hochschule für Technik und Wirtschaft Dresden – University of Applied Sciences","German Business Culture and International Management (MA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6149/"
"Preparatory course","Hochschule Fresenius - University of Applied Sciences","German Education Gate: Studienkolleg NRW",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8300/"
"Preparatory course","RWTH Aachen University","German Engineering College (GEC)",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7782/"
"Language course","University of Freiburg","German for Business and Economics","German Language Course (including Literature and Culture Studies)","EUR 880","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6191/"
"Language course","Internationale Hochschule SDI München/International University SDI München","German for Legal Professions","German Language Course (including Literature and Culture Studies)","EUR 750","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6338/"
"Language course","Internationale Hochschule SDI München/International University SDI München","German for Medical Professions","Preparatory Course for German Language Examinations","EUR 750","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6291/"
"Language course","University of Freiburg","German for Natural Sciences and Engineering","German Language Course (including Literature and Culture Studies)","EUR 880","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6193/"
"Language course","FH Aachen University of Applied Sciences","German for Study & Work - Aachener Sprachsommer 2025","German Language Course (including Literature and Culture Studies)","EUR 650","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4955/"
"Language course","Martin Luther University Halle-Wittenberg","German for Study and Work A1 - C2","German Language Course (including Literature and Culture Studies)","EUR 1,440","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5432/"
"Language course","University of Freiburg","German for the Tourism Industry","Languages and Cultural Studies in general","EUR 880","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6192/"
"Preparatory course","Dresden University of Technology","German Intensive Course for Study Preparation — Studienvorbereitender Deutschkurs B1-C1 (inkl. Prüfungsvorbereitung)",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9668/"
"Language course","Brandenburg University of Applied Sciences","German Intensive Course – Start Your Studies with DeutschPlus","Preparatory Course for German Language Examinations","EUR 1,021","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8923/"
