"Program_Title","Institution","Level","City","Link","Field","Language","Country","ECTS","Department","Duration","Tuition","Contact_Email","Form","Institution_URL","Credits_Percent","ECTS_Foreign","Cost_per_ECTS","Subjects_Foreign","Linguistic_Requirements"
"Biomedical Engineering","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/medicinehealth/biomedicine/biomedical-engineering/121-biomedical-engineering-e-12-3-graz.en.html","Engineering Sciences","English","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biomolecular Technology of Proteins","Universität für Bodenkultur Wien","PhD","Wien","https://www.studienwahl.at/studies/engineering-sciences/phd/124-biomolecular-technology-of-proteins-4-3-wien.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biophysics","Universität Linz","Master","Linz","https://www.studienwahl.at/studies/engineering-sciences/biotechnology/125-biophysics-e-12-3-linz.en.html","Engineering Sciences","English","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biotechnology","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/medicinehealth/biomedicine/biotechnology-and-bioprocess-engineering/126-biotechnology-e-12-3-graz.en.html","Engineering Sciences","English","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biotechnology","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/natural-sciences/biotechnology/food-science-and-biotechnology/128-biotechnology-e-12-3-wien.en.html","Engineering Sciences","English","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Building Science and Environment","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/147-building-science-and-environment-e-12-3-wien.en.html","Engineering Sciences","English","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chemical and Pharmaceutical Engineering","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/natural-sciences/153-chemical-and-pharmaceutical-engineering-e-12-3-graz.en.html","Engineering Sciences","English","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Logic and Computation","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/computer-sciences/computer-sciences/169-logic-and-computation-e-12-3-wien.en.html","Engineering Sciences","English","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visual Computing","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/technology/computer-sciences/172-visual-computing-12-3-wien.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Computer Mathematics","Universität Linz","Master","Linz","https://www.studienwahl.at/studies/natural-sciences/mathematicsphysics-studies/technical-mathematics/173-computer-mathematics-e-12-3-linz.en.html","Engineering Sciences","English","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
