"Title","University","Degree","Duration","Tuition","Link","Language"
"Finance","Klaipėdos valstybinė kolegija / Higher Education Institution","Bachelor's studies (college)",3,2600,"https://studyin.lt/programs/finance-2/","English"
"Dental Hygiene","Klaipėdos valstybinė kolegija / Higher Education Institution","Bachelor's studies (college)",3,3005,"https://studyin.lt/programs/dental-hygiene/","English"
"General Practice Nursing","Klaipėdos valstybinė kolegija / Higher Education Institution","Bachelor's studies (college)",3.5,3300,"https://studyin.lt/programs/general-practice-nursing-2/","English"
"Financial Economics","ISM University of Management and Economics","Master‘s studies",2,3225,"https://studyin.lt/programs/financial-economics/","English"
"International Marketing and Management","ISM University of Management and Economics","Master‘s studies",2,3225,"https://studyin.lt/programs/international-marketing-and-management/","English"
"Finance","ISM University of Management and Economics","Bachelor's studies (university)",3.5,3190,"https://studyin.lt/programs/finance/","English"
"International Business and Communication","ISM University of Management and Economics","Bachelor's studies (university)",3.5,3190,"https://studyin.lt/programs/international-business-and-communication/","English"
"International Law","Mykolas Romeris University","Master‘s studies",1.5,4606,"https://studyin.lt/programs/international-law/","English"
"Civil Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Bachelor's studies (university)",4,3727,"https://studyin.lt/programs/civil-engineering/","English"
"European Union Law and Governance (Double diploma programme)","Mykolas Romeris University","Master‘s studies",1.5,4606,"https://studyin.lt/programs/european-union-law-and-governance/","English"
